name,jurisdiction,agency,facility_url,street_address,city,state,zip_code,county,office,latitude,longitude,warden,capacity,gender,phone,fax,chaplain_phone,warden_email,general_email,contact_name,recruiter_email,contact_phone,hours,programs
Gadsden Re-Entry Center,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/144,630 Opportunity Lane,Havana,FL,32333,Gadsden,Region 1,30.5467341,-84.4956706,Keisha Jones,432.0,Male,(850) 539-2440,(850) 539-2768,(850) 539-2491,keisha.jones@fdc.myflorida.com,GadsdenRE.WardenOffice@fdc.myflorida.com,Takiya Moore,Takiya.Moore@fdc.myflorida.com,(850) 539-2460,9:00 a.m. - 3:00 p.m. EST,Academic: 100- Hour Transition Program; Academic: Adult Basic Education; Academic: GED Testing; Academic: General Education Development (GED) Preparation; Academic: Literacy Program; Vocational: Electrical; Vocational: Food Service Trainee Program/ServSafe; Vocational: HVAC; Betterment: Gavel Club; Betterment: Living in Balance; Betterment: Men's Work; Betterment: Thinking for a Change; Betterment: Victim Impact; Betterment: Why Try; Substance Use: Alumni Support Group; Substance Use: Intensive Outpatient; Substance Use: Outpatient Program; Substance Use: Readiness Group; Substance Use: Therapeutic Community; Re-Entry: 24/7 Dads; Re-Entry: ARES Grant Program; Re-Entry: Florida Hires; Re-Entry: Mentor Program; Chaplaincy: Baptism; Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Library; Chaplaincy: Communion; Chaplaincy: Faith Based Studies; Chaplaincy: Meditation Classes; Chaplaincy: Mentoring; Chaplaincy: Non-Denomination Service; Chaplaincy: Prison Fellowship Academy; Chaplaincy: Religious Diets (RPD); Chaplaincy: Special Events
Reception and Medical Center,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/209,7765 S CR 231 Lake,Butler,FL,32054-0628,Union,Region 2,29.9899014,-82.3594291,Travis Lamb,,Male,(386) 496-6000,(386) 496-3287,(386) 496-7010,Travis.Lamb@fdc.myflorida.com,RMC.WardenOffice@fdc.myflorida.com,Heather Liston,Heather.Liston@fdc.myflorida.com,(386) 496-6195,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Special Education Screening (Child Find); Chaplaincy: Religious Education; Chaplaincy: Worship Services
New River Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/210,8000 NW 80th Place,Raiford,FL,32083,Bradford,Region 2,30.0606861,-82.1782439,,,Male,,,,,,,,,,Academic: Adult Basic Education; Academic: Continuing Education for Close Management Program; Academic: General Educational Development (GED); Academic: Volunteer Student; Chaplaincy: Alcoholics Anonymous; Chaplaincy: Chapel Library Program; Chaplaincy: Faith and Character Dorm Program; Chaplaincy: Holy Day Observation; Chaplaincy: Personal Growth Programs; Chaplaincy: Religious TV Reception; Chaplaincy: Religious Education; Chaplaincy: Special Events; Chaplaincy: Volunteer Program; Chaplaincy: Worship Services
South Bay Correctional Facility,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/405,600 U.S. Highway 27 South South,Bay,FL,33493-2233,Palm Beach,Region 4,26.6575454,-80.7183921,Shay Hatcher,,Male,(561) 992-9505,(561) 992-4091,(561) 992-9505,shay.hatcher@geogroup.com,southbaycf@geogroup.com,,,,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Huntington Jr. College; Academic: Mandatory Literacy; Academic: Pre-GED; Vocational: Carpentry; Vocational: Culinary Arts; Vocational: Environmental Services; Vocational: Hospitality and Tourism; Vocational: Logistics; Vocational: Nursery Management; Vocational: Virtual Welding Technology
Hernando Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/336,16415 Spring Hill Drive,Brooksville,FL,34604-8167,Hernando,Region 3,28.483452,-82.4542886,Tamera Poynter,431.0,Male,(352) 754-6715,(352) 797-5794,(352) 754-6715,Tamera.Poynter@fdc.myflorida.com,HernandoCI.WardenOffice@fdc.myflorida.com,Jesse Costantino,Jesse.Costantino@fdc.myflorida.com,(352) 754-2160,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: General Education Development (GED); Vocational: Advanced Landscaping; Vocational: Heavy Equipment Operator; Re-Entry: AIR - Aiding in Re-entry; Re-Entry: Compass 180 Program; Re-Entry: Entrepreneurship & Small Business Class; Re-Entry: Florida Ready to Work; Re-Entry: Food Service Safe Serv Certification; Re-Entry: Hunter Irrigation Class; Re-Entry: Job Seeking Resources; Re-Entry: Logistics Class; Re-Entry: Pre-Release Inmate Simulator; Re-Entry: Re-Entry Seminars; Chaplaincy: Anger Management; Chaplaincy: Bible Studies; Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Library; Chaplaincy: Kairos; Chaplaincy: Mentoring; Chaplaincy: Religious Education; Chaplaincy: Special Events Seminars; Chaplaincy: Worship Services
Lowell Annex,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/367,11120 NW Gainesville Rd.,Ocala,FL,34482-1479,Marion,Region 3,29.3111178,-82.19838560000001,Shellie Baker,,Female,(352) 690-8900,(352) 401-5331,(352) 690-8760,shellie.baker@fdc.myflorida.com,LowellCI.WardenOffice@fdc.myflorida.com,Jessica Chapman,Jessica.Chapman@fdc.myflorida.com,(352) 690-8676,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education (Open Population and Close Management); Academic: Ashland University College Program; Academic: General Educational Development (GED) (Open Population and Close Management); Academic: Special Education Services (Open Population and Close Management); Academic: Title I Services; Academic: Volunteer Literacy Program; Vocational: TREMCO; Chaplaincy: Chapel Library Program; Chaplaincy: Religious Education; Chaplaincy: Worship Services
"Central Florida Reception Center, South Unit",Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/323,7000 H C Kelley Rd.,Orlando,FL,32831-2518,Orange,Region 3,28.4633686,-81.1540029,Jess Baldridge,150.0,Male,(407) 207-7777,(407) 249-6570,(407) 208-8284,jess.baldridge@fdc.myflorida.com,CFRC.WardenOffice@fdc.myflorida.com,Edward Vasquez,Edward.Vasquez@fdc.myflorida.com,(407) 208-8174,9:00 a.m. - 3:00 p.m. EST,"Academic: UCF - Creative Writing, English 101, Science, Poetry, Art, American Religion; Chaplaincy: Chapel Library Program; Chaplaincy: Religious Education; Chaplaincy: Spiritual Counseling; Chaplaincy: Worship Services"
Northwest Florida Reception Center Annex,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/125,4455 Sam Mitchell Drive,Chipley,FL,32428-3597,Washington,Region 1,30.516998,-85.6596411,Scott Duvall,,Male,(850) 773-6100,(850) 773-6252,(850) 773-6183,scott.duvall@fdc.myflorida.com,NWFRC.WardenOffice@fdc.myflorida.com,Tiffany Haire,Tiffany.Haire@fdc.myflorida.com,(850) 773-0315,8:00 a.m. - 2:00 p.m. CST,Academic: Adult Basic Education; Academic: General Educational Development (GED); Academic: Special Education Screening (Child Find); Academic: Voluntary Literacy Program; Chaplaincy: Celebrate Recovery Program; Chaplaincy: Chapel Library Program; Chaplaincy: Discipleship; Chaplaincy: Experiencing God; Chaplaincy: Holy Day Observations; Chaplaincy: Inmate Transitional Assistance; Chaplaincy: Men of Honor; Chaplaincy: Most Excellent Way; Chaplaincy: Personal Growth Programs; Chaplaincy: Praise Band; Chaplaincy: Purpose Driven Life; Chaplaincy: Religious Consultations; Chaplaincy: Religious Holy Day Observances; Chaplaincy: Religious Studies; Chaplaincy: Volunteer Program; Chaplaincy: Worship Services
Lake Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/312,19225 U.S. Highway 27,Clermont,FL,34715-9025,Lake,Region 3,28.6214001,-81.7660126,David Colon,570.0,Male,(352) 394-6146,(352) 394-3504,(352) 394-6146,david.colon@fdc.myflorida.com,LakeCI.WardenOffice@fdc.myflorida.com,Margaret Chavez,Margaret.Chavez@fdc.myflorida.com,(352) 989-9217,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: Correspondence Courses; Academic: General Educational Development (GED); Academic: Special Education Services; Academic: Tutoring; Chaplaincy: Bible Study; Chaplaincy: Buddhist Services; Chaplaincy: Celebrate Recovery; Chaplaincy: Catholic Services; Chaplaincy: Chapel Library; Chaplaincy: Christian Services; Chaplaincy: Creative Art; Chaplaincy: Creative Writing; Chaplaincy: F.I.T.; Chaplaincy: Hebrew Israelites; Chaplaincy: Inside/Out Dad's; Chaplaincy: Islamic Services; Chaplaincy: Jehovah's Witness; Chaplaincy: Jewish Services; Chaplaincy: Journey to Maturity; Chaplaincy: Kairos Weekends; Chaplaincy: Native American Services; Chaplaincy: Praise Team; Chaplaincy: Religious Band; Chaplaincy: Religious Education; Chaplaincy: Wiccan Services; Chaplaincy: Worship Services; Chaplaincy: Xodus
Madison Correctional Institution,Florida,Florida Department of Corrections (FDC),https://fdc.myflorida.com/institutions/institutions-list/216,382 Southwest MCI Way,Madison,FL,32340,Madison,Region 2,30.4428643,-83.4211706,Amelia Hill,,Male,(850) 973-5300,(850) 973-5339,(850) 973-5506,Amelia.hill@fdc.myflorida.com,MadisonCI.WardenOffice@fdc.myflorida.com,Cynethia Roundtree,Cynethia.Roundtree@fdc.myflorida.com,(850) 973-5555,9:00 a.m. - 3:00 p.m. EST,Academic: Adult Basic Education; Academic: ESL (English as a Second Language); Academic: General Education Diploma (GED); Academic: Mavis Beacon Typing Program; Academic: PRIDE GED Academy Program; Academic: Volunteer Literacy Program; Vocational: Culinary Arts; Chaplaincy: Azalea City Ministries; Chaplaincy: Beginners Bible Study; Chaplaincy: Buddhist Services; Chaplaincy: Catholic Services & Study; Chaplaincy: Celebrate Life; Chaplaincy: Celebrate Recovery; Chaplaincy: Chapel Choir Musical Selections; Chaplaincy: Chapel Library Program; Chaplaincy: Ernest Setzler Ministries; Chaplaincy: Gavel Club; Chaplaincy: God Trials; Chaplaincy: Hebrew Israelite Services; Chaplaincy: Jehovah Witness Services; Chaplaincy: Jewish Services; Chaplaincy: Kairos Weekends & Reunion; Chaplaincy: Lord and Turner Ministries; Chaplaincy: Matthew 25 Prison Ministries; Chaplaincy: Messianic Jewish Service; Chaplaincy: Mormon Service; Chaplaincy: Muslim Services & Jumah Prayer; Chaplaincy: Night-time Religious Education & Worship; Chaplaincy: Peace Makers; Chaplaincy: Pentecostal Tabernacle; Chaplaincy: Prayer Team; Chaplaincy: Prophetess Washington; Chaplaincy: Religious Education; Chaplaincy: Save a Man Ministry; Chaplaincy: Second Chances Ministry; Chaplaincy: Seventh Day Adventist Services; Chaplaincy: Spanish Services; Chaplaincy: TBN Live Satellite Feed; Chaplaincy: Through the Bible; Chaplaincy: Trinity Community Church; Chaplaincy: Wicca Service
