facility_url,jurisdiction,agency,name,counties_served,address_line1,address_line2,city,state,zip_code,country,phone,superintendent,description,security_level,gender,latitude,longitude
https://doccs.ny.gov/location/adirondack-correctional-facility,New York,DOCCS,Adirondack Correctional Facility,Essex,196 Ray Brook Road,P.O. Box 110,Ray Brook,NY,12977-0110,United States,(518) 891-1343,Andrew Boyd,Adirondack Correctional Facility is a medium security level facility for males.,Medium,Male,44.295879,-74.09318350000001
https://doccs.ny.gov/location/albion-correctional-facility,New York,DOCCS,Albion Correctional Facility,Orleans,3595 State School Road,,Albion,NY,14411-9399,United States,(585) 589-5511,Melinda Samuelson,Albion Correctional Facility is a medium security level facility for females.,Medium,Female,43.2426626,-78.21541359999999
https://doccs.ny.gov/location/altona-correctional-facility,New York,DOCCS,Altona Correctional Facility,Clinton,555 Devils Den Road,P.O. Box 3000,Altona,NY,12910-3000,United States,(518) 236-7841,Stanley Barton,Altona Correctional Facility is a medium security level facility for males.,Medium,Male,44.8916226,-73.6595445
https://doccs.ny.gov/location/attica-correctional-facility,New York,DOCCS,Attica Correctional Facility,Wyoming,639 Exchange St,,Attica,NY,14011-0149,United States,(585) 591-2000,Julie Wolcott,Attica Correctional Facility is a maximum security level facility for males.,Maximum,Male,42.8493767,-78.2757215
https://doccs.ny.gov/location/auburn-correctional-facility,New York,DOCCS,Auburn Correctional Facility,Cayuga,135 State Street,"Incarcerated Individual Mail: P. O. Box 618, Zip 13021",Auburn,NY,13024-9000,United States,(315) 253-8401,Thomas Napoli,Auburn Correctional Facility is a maximum security level facility for males.,Maximum,Male,42.935624,-76.57116479999999
https://doccs.ny.gov/location/bare-hill-correctional-facility,New York,DOCCS,Bare Hill Correctional Facility,Franklin,181 Brand Rd,Caller Box #20,Malone,NY,12953-0020,United States,(518) 483-8411,Tanya Demers (Acting),Bare Hill Correctional Facility is a medium security level facility for males.,Medium,Male,44.8764725,-74.32381579999999
https://doccs.ny.gov/location/bedford-hills-correctional-facility,New York,DOCCS,Bedford Hills Correctional Facility,Westchester,247 Harris Road,,Bedford Hills,NY,10507-2400,United States,(914) 241-3100,Eileen Russell,Bedford Hills Correctional Facility is a maximum security level facility for females.,Maximum,Female,41.238826,-73.6804203
https://doccs.ny.gov/location/cape-vincent-correctional-facility,New York,DOCCS,Cape Vincent Correctional Facility,Jefferson,36560 State Route 12E,P.O. Box 599,Cape Vincent,NY,13618-0599,United States,(315) 654-4100,Marcia Cleveland,Cape Vincent Correctional Facility is a medium security level facility for males.,Medium,Male,44.198011,-76.1880707
https://doccs.ny.gov/location/cayuga-correctional-facility,New York,DOCCS,Cayuga Correctional Facility,Cayuga,2202 State Route 38A,"P.O. Box 1150 (Incarcerated Individual Mail: P.O. Box 1186, Zip 13118 )",Moravia,NY,13118-1150,United States,(315) 497-1110,Thomas Gee,Cayuga Correctional Facility is a medium security level facility for males.,Medium,Male,42.7217857,-76.396307
https://doccs.ny.gov/location/clinton-correctional-facility,New York,DOCCS,Clinton Correctional Facility,Clinton,1156 Rt. 374,"P.O. Box 2000 (Incarcerated Individual Mail: P.O. Box 2001, Zip 12929)",Dannemora,NY,12929-2000,United States,(518) 492-2511,Mariejosee King,Clinton Correctional Facility is a maximum security level facility for males.,Maximum,Male,44.7220909,-73.72368809999999
https://doccs.ny.gov/location/collins-correctional-facility,New York,DOCCS,Collins Correctional Facility,Erie,Middle Road,"P.O. Box 490 (Incarcerated Individual Mail: P.O. Box 340, Zip 14034-0340)",Collins,NY,14034-0490,United States,(716) 532-4588,Leanne Latona,Collins Correctional Facility is a medium security level facility for males.,Medium,Male,42.4907738,-78.9287823
https://doccs.ny.gov/location/coxsackie-correctional-facility,New York,DOCCS,Coxsackie Correctional Facility,Greene,11260 Route 9W,"P.O. Box 200 (Incarcerated Individual Mail: P.O. Box 999, Zip 12051-0999)",Coxsackie,NY,12051-0200,United States,(518) 731-2781,Brooke Blaise,Coxsackie Correctional Facility is a maximum security level facility for males.,Maximum,Male,42.343663,-73.84533429999999
https://doccs.ny.gov/location/eastern-ny-correctional-facility,New York,DOCCS,Eastern NY Correctional Facility,Ulster,30 Institution Rd,P.O. Box 338,Napanoch,NY,12458-0338,United States,(845) 647-7400,Michael J. Ritter,Eastern NY Correctional Facility is a maximum security level facility for males.,Maximum,Male,41.738257,-74.360002
https://doccs.ny.gov/location/edgecombe-residential-treatment-facility,New York,DOCCS,Edgecombe Residential Treatment Facility,New York,611 Edgecombe Avenue,,New York,NY,10032-4398,United States,(212) 923-2575,Seiveright Miller,Edgecombe Residential Treatment Facility is a minimum security level facility for males and females.,Minimum,Male,40.8362309,-73.9376813
https://doccs.ny.gov/location/elmira-correctional-facility,New York,DOCCS,Elmira Correctional Facility,Chemung,1879 Davis St,P.O. Box 500,Elmira,NY,14901-0500,United States,(607) 734-3901,Kevin McCarthy,Elmira Correctional Facility is a maximum security level facility for males.,Maximum,Male,42.1152031,-76.82974930000002
https://doccs.ny.gov/location/fishkill-correctional-facility,New York,DOCCS,Fishkill Correctional Facility,Dutchess,18 Strack Drive,"(Incarcerated Individual Mail: 271 Matteawan Road, P.O. Box 1245)",Beacon,NY,12508-0307,United States,(845) 831-4800,Michael Daye,Fishkill Correctional Facility is a medium security level facility for males.,Medium,Male,41.5220144,-73.95088220000001
