code,name,securityLevel,region,latitude,longitude,url,timeZone,address,city,state,zipCode,phoneNumber,contactEmail,locationtype,privateFacl,gender,special,type,faclTypeDescription,hasCamp,imageNormal,population
ALD,Alderson,Minimum,Mid-Atlantic Region,37.725277605059226,-80.65844535827637,/locations/institutions/ald/,E,GLEN RAY RD. BOX A,ALDERSON,WV,24910,304-445-3300,ALD-ExecAssistant-S@bop.gov,inst,f,female,False,FPC,Federal Prison Camp,False,/locations/institutions/ald/ALD_lrg.jpg,636.0
ALI,Aliceville,Low,Southeast Region,33.14405529845028,-88.1669569015503,/locations/institutions/ali/,C,11070 HIGHWAY 14,ALICEVILLE,AL,35442,205-373-5000,ALI-ExecAssistant-S@bop.gov,inst,f,female,False,FCI,Federal Correctional Institution,True,/locations/institutions/ali/ALI_lrg.jpg,1214.0
ALX,Allenwood,N/A,Northeast Region,41.12845565513079,-76.91230058670044,/locations/search.jsp?q=FCC+Allenwood&name=Allenwood&facilityType=FCC,E,PO BOX 1000,MONTGOMERY,PA,17752,-1--1,ALX-ExecAssistant-S@bop.gov,inst,f,male,False,FCC,Federal Correctional Complex,False,/locations/institutions/alx/ALX_lrg.jpg,
ASH,Ashland,Low,Mid-Atlantic Region,38.43626194850654,-82.70134449005127,/locations/institutions/ash/,E,ST. ROUTE 716,ASHLAND,KY,41105,606-928-6414,ASH-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/ash/ASH_lg.jpg,1188.0
ATL,Atlanta,Low,Southeast Region,33.711463,-84.371153,/locations/institutions/atl/,E,601 MCDONOUGH BLVD SE,ATLANTA,GA,30315,404-635-5100,ATL-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,False,/locations/institutions/atl/ATL_lg.jpg,1815.0
ATW,Atwater,High,Western Region,37.38309935091961,-120.55909395217896,/locations/institutions/atw/,P,1 FEDERAL WAY,ATWATER,CA,95301,209-386-0257,ATW-ExecAssistant-S@bop.gov,inst,f,male,False,USP,U.S. Penitentiary,True,/locations/institutions/atw/ATW_lrg.jpg,1108.0
BAS,Bastrop,Low,South Central Region,30.192914965504624,-97.30746388435364,/locations/institutions/bas/,C,1341 HIGHWAY 95 NORTH,BASTROP,TX,78602,512-321-3903,BAS-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/bas/BAS_lrg.jpg,1024.0
BEC,Beckley,Medium,Mid-Atlantic Region,37.80829210552015,-81.12555742263794,/locations/institutions/bec/,E,1600 INDUSTRIAL ROAD,BEAVER,WV,25813,304-252-9758,BEC-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/bec/BEC_lrg.jpg,1541.0
BEN,Bennettsville,Medium,Southeast Region,34.67387626588273,-79.72460746765137,/locations/institutions/ben/,E,696 MUCKERMAN ROAD,BENNETTSVILLE,SC,29512,843-454-8200,BEN-ExecAssistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/ben/BEN_lrg.jpg,1530.0
BER,Berlin,Medium,Northeast Region,44.52254966316118,-71.13761186599731,/locations/institutions/ber/,E,1 SUCCESS LOOP ROAD,BERLIN,NH,03570,603-342-4000,BER-Execassistant-S@bop.gov,inst,f,male,False,FCI,Federal Correctional Institution,True,/locations/institutions/ber/BER_lrg.jpg,853.0
