name,county,state,agency,facility_type,color_code,facility_url,custody_level,gender,street_address,city,zip_code,warden,capacity,phone,latitude,longitude,reentry_facility
Alexander Correctional Institution,Alexander,North Carolina,North Carolina Department of Adult Correction (DAC),State Prison (Close/Medium/Minimum Security),Deep Purple,https://www.dac.nc.gov/Adult-Corrections/Prisons/Prison-Facilities/Alexander-Correctional-Institution,Alexander Correctional InstitutionClose and Minimum Custody / Male,Male,633 Old Landfill Rd.,Taylorsville,28681,SVG,1.0,(828) 632-1331,35.8842148,-81.1770804,
Anson Correctional Institution,Anson,North Carolina,North Carolina Department of Adult Correction (DAC),State Prison (Close/Medium/Minimum Security),Deep Purple,https://www.dac.nc.gov/divisions-and-sections/prisons/prison-facilities,"Polkton, NC 28135Brown Creek Correctional InstitutionMinimum Custody / Reentry Facility / Male",Male,552 Prison Camp Rd.,Polkton,28135,,,919-733-2126,34.9868178,-80.18183959999999,True
Brown Creek Correctional Institution,Anson,North Carolina,North Carolina Department of Adult Correction (DAC),State Prison (Close/Medium/Minimum Security),Deep Purple,https://www.dac.nc.gov/divisions-and-sections/prisons/prison-facilities,Brown Creek Correctional InstitutionMinimum Custody / Reentry Facility / Male,Male,248 Prison Camp Rd.,Polkton,28135,,,919-733-2126,34.9895415,-80.17691660000001,True
Avery-Mitchell Correctional Institution,Avery,North Carolina,North Carolina Department of Adult Correction (DAC),State Prison (Medium Security),Light Purple,https://www.dac.nc.gov/divisions-and-sections/prisons/prison-facilities,"Spruce Pine, NC 28777 Mountain View Correctional InstitutionMedium Custody / Male",Male,600 Amity Park Rd.,Spruce Pine,28777,,,919-733-2126,35.9265246,-82.0023602,
Mountain View Correctional Institution,Avery,North Carolina,North Carolina Department of Adult Correction (DAC),State Prison (Medium Security),Light Purple,https://www.dac.nc.gov/divisions-and-sections/prisons/prison-facilities,Mountain View Correctional InstitutionMedium Custody / Male,Male,545 Amity Park Rd.,Spruce Pine,28777,,,919-733-2126,35.93166799999999,-82.003597,
Bertie Correctional Institution,Bertie,North Carolina,North Carolina Department of Adult Correction (DAC),State Prison (Close/Medium/Minimum Security),Deep Purple,https://www.dac.nc.gov/Adult-Corrections/Prisons/Prison-Facilities/Bertie-Correctional-Institution,Bertie Correctional InstitutionClose and Medium Custody / Male,Male,218 Cooper Hill Rd.,Windsor,27983,SVG,1.0,252-509-0158,35.9754845,-76.90833909999999,
Craggy Correctional Center,Buncombe,North Carolina,North Carolina Department of Adult Correction (DAC),State Prison (Close/Medium/Minimum Security),Deep Purple,https://www.dac.nc.gov/divisions-and-sections/prisons/prison-facilities,"Asheville, NC 28804Western Correctional Center for WomenMinimum Custody / Reentry Facility / Female",Female,2992 Riverside Dr.,Asheville,28804,,,919-733-2126,35.6631933,-82.6154596,True
Western Correctional Center for Women,Buncombe,North Carolina,North Carolina Department of Adult Correction (DAC),State Prison (Close/Medium/Minimum Security),Deep Purple,https://www.dac.nc.gov/divisions-and-sections/prisons/prison-facilities,Western Correctional Center for WomenMinimum Custody / Reentry Facility / Female,Female,55 Lake Eden Rd.,Black Mountain,28711,,,919-733-2126,35.6135181,-82.37195559999999,True
Foothills Correctional Institution,Burke,North Carolina,North Carolina Department of Adult Correction (DAC),State Prison (Close/Medium/Minimum Security),Deep Purple,https://www.dac.nc.gov/divisions-and-sections/institutions/prison-facilities/foothills-correctional-institution,Foothills Correctional InstitutionClose and Minimum Custody / Male,Male,5150 Western Ave.,Morganton,28655,SVG,858.0,828-438-5585,35.6807187,-81.6907284,
Caldwell Correctional Center,Caldwell,North Carolina,North Carolina Department of Adult Correction (DAC),Correctional Center (Minimum/Reentry),Light Blue,https://www.dac.nc.gov/divisions-and-sections/prisons/prison-facilities/caldwell-correctional-center,Caldwell Correctional CenterMinimum Custody / Reentry Facility / Male,Male,480 Pleasant Hill Rd.,Lenoir,28645,SVG,238.0,(828) 726-2509,35.8550238,-81.52276289999999,True
Carteret Correctional Center,Carteret,North Carolina,North Carolina Department of Adult Correction (DAC),Correctional Center (Minimum/Reentry),Light Blue,https://www.dac.nc.gov/Adult-Corrections/Prisons/Prison-Facilities/Carteret-Correctional-Center,Carteret Correctional CenterMinimum Custody / Reentry Facility / Male,Male,1084 Orange St.,Newport,28570,SVG,300.0,(252) 223-5100,34.7813591,-76.8457892,True
Caswell Correctional Center,Caswell,North Carolina,North Carolina Department of Adult Correction (DAC),State Prison (Close/Medium/Minimum Security),Deep Purple,https://www.dac.nc.gov/divisions-and-sections/prisons/prison-facilities,"Blanch, NC 27212Dan River Prison Work FarmMinimum Custody / Male",Male,444 Country Home Rd.,Blanch,27212,,,919-733-2126,36.4193644,-79.343356,
Dan River Prison Work Farm,Caswell,North Carolina,North Carolina Department of Adult Correction (DAC),State Prison (Close/Medium/Minimum Security),Deep Purple,https://www.dac.nc.gov/divisions-and-sections/prisons/prison-facilities,Dan River Prison Work FarmMinimum Custody / Male,Male,981 Murray Rd.,Blanch,27212,,,919-733-2126,36.4326557,-79.34693899999999,
Catawba Correctional Center,Catawba,North Carolina,North Carolina Department of Adult Correction (DAC),Correctional Center (Minimum/Reentry),Light Blue,https://www.dac.nc.gov/Adult-Corrections/Prisons/Prison-Facilities/Catawba-Correctional-Center,Catawba Correctional CenterMinimum Custody / Reentry Facility / Male,Male,1347 Prison Camp Rd.,Newton,28658,SVG,246.0,828-466-5521,35.6163465,-81.208602,True
Columbus Correctional Institution,Columbus,North Carolina,North Carolina Department of Adult Correction (DAC),State Prison (Close/Medium/Minimum Security),Deep Purple,https://www.dac.nc.gov/divisions-and-sections/prisons/prison-facilities,"Whiteville, NC 28472Tabor Correctional InstitutionClose, Medium and Minimum Custody / Reentry Facility / Male",Male,1255 Prison Camp Rd.,Whiteville,28472,,,919-733-2126,34.2794483,-78.7202902,True
Tabor Correctional Institution,Columbus,North Carolina,North Carolina Department of Adult Correction (DAC),State Prison (Close/Medium/Minimum Security),Deep Purple,https://www.dac.nc.gov/divisions-and-sections/prisons/prison-facilities,"Tabor Correctional InstitutionClose, Medium and Minimum Custody / Reentry Facility / Male",Male,4600 Swamp Fox Highway West,Tabor City,28463,,,919-733-2126,34.1875035,-78.9118155,True
