name,latitude,longitude,entity_id,facility_url,state,agency,street_address,city,zip_code,phone,description,capacity,security_level
Appling ITF,31.802111,-82.410142,3186,https://gdc.georgia.gov/locations/appling-itf,GA,Georgia Department of Corrections (GDC),"19 Response



 Federal Bonding Program



 Find an Offender



 Georgia Release Card Information



 Incarcerated Veterans



 Performance Incentive Credit Program



 St","West Park Drive
Baxley",31513,(912) 367-1774,"An official website of the State of Georgia.

            How you know",206.0,Medium
Arrendale Transitional Center,34.465703,-83.576129,3196,https://gdc.georgia.gov/locations/arrendale-transitional-center,GA,Georgia Department of Corrections (GDC),"19 Response



 Federal Bonding Program



 Find an Offender



 Georgia Release Card Information



 Incarcerated Veterans



 Performance Incentive Credit Program



 St","Old Gainesville Hwy
Alto",30510,(706) 776-0845,"An official website of the State of Georgia.

            How you know",117.0,Minimum
Atlanta Transitional Center,33.772701,-84.376424,3201,https://gdc.georgia.gov/locations/atlanta-transitional-center,GA,Georgia Department of Corrections (GDC),"19 Response



 Federal Bonding Program



 Find an Offender



 Georgia Release Card Information



 Incarcerated Veterans



 Performance Incentive Credit Program



 St","Ne
Atlanta",30308,(404) 206-5103,"An official website of the State of Georgia.

            How you know",257.0,Minimum
Augusta State Med. Prison,33.432243,-82.188336,3206,https://gdc.georgia.gov/locations/augusta-state-med-prison,GA,Georgia Department of Corrections (GDC),"19 Response



 Federal Bonding Program



 Find an Offender



 Georgia Release Card Information



 Incarcerated Veterans



 Performance Incentive Credit Program



 St","Gordon Hwy
Grovetown",30813,(706) 855-4700,"An official website of the State of Georgia.

            How you know",1326.0,Close
Augusta Transitional Center,33.466371,-81.966826,3211,https://gdc.georgia.gov/locations/augusta-transitional-center,GA,Georgia Department of Corrections (GDC),"19 Response



 Federal Bonding Program



 Find an Offender



 Georgia Release Card Information



 Incarcerated Veterans



 Performance Incentive Credit Program



 St","Taylor Street
Augusta",30901,(706) 721-1650,"An official website of the State of Georgia.

            How you know",230.0,Minimum
Autry State Prison,31.188079,-84.14475,3216,https://gdc.georgia.gov/locations/autry-state-prison,GA,Georgia Department of Corrections (GDC),"19 Response



 Federal Bonding Program



 Find an Offender



 Georgia Release Card Information



 Incarcerated Veterans



 Performance Incentive Credit Program



 St","Mount Zion Church Road
Pelham",31779,(229) 294-2940,"An official website of the State of Georgia.

            How you know",1698.0,Medium
Bacon Probation Detention Center,31.547369,-82.511526,3226,https://gdc.georgia.gov/locations/bacon-probation-detention-center,GA,Georgia Department of Corrections (GDC),"19 Response



 Federal Bonding Program



 Find an Offender



 Georgia Release Card Information



 Incarcerated Veterans



 Performance Incentive Credit Program



 St","Eastside Industrial Boulevard
Alma",31510,(912) 632-8157,"An official website of the State of Georgia.

            How you know",,
Bacon Transitional Center,31.547369,-82.511526,3231,https://gdc.georgia.gov/locations/bacon-transitional-center,GA,Georgia Department of Corrections (GDC),"19 Response



 Federal Bonding Program



 Find an Offender



 Georgia Release Card Information



 Incarcerated Veterans



 Performance Incentive Credit Program



 St","Eastside Industrial Boulevard
Alma",31510,(912) 632-8157,"An official website of the State of Georgia.

            How you know",,
Bainbridge Substance Abuse Center,30.982665,-84.636263,3236,https://gdc.georgia.gov/locations/bainbridge-substance-abuse-center,GA,Georgia Department of Corrections (GDC),"19 Response



 Federal Bonding Program



 Find an Offender



 Georgia Release Card Information



 Incarcerated Veterans



 Performance Incentive Credit Program



 St","State Hospital Road
Bainbridge",39817,(229) 248-2463,"An official website of the State of Georgia.

            How you know",,
Baldwin State Prison,33.024835,-83.221321,3251,https://gdc.georgia.gov/locations/baldwin-state-prison,GA,Georgia Department of Corrections (GDC),"19 Response



 Federal Bonding Program



 Find an Offender



 Georgia Release Card Information



 Incarcerated Veterans



 Performance Incentive Credit Program



 St","Laying Farm Road
Hardwick",31034,(478) 445-5218,"An official website of the State of Georgia.

            How you know",925.0,close
