name,acronym,street_address,city,state,zip_code,phone,facility_url,jurisdiction,agency,latitude,longitude
Avenal State Prison,ASP,"#1
Kings Way",Avenal,CA,93204,(559) 386-0587,https://www.cdcr.ca.gov/facility-locator/asp/,California,CDCR,35.9761958,-120.1184142
California Correctional Institution,CCI,"24900
Highway 202",Tehachapi,CA,93561,(661) 822-4402,https://www.cdcr.ca.gov/facility-locator/cci/,California,CDCR,35.1133011,-118.5694869
"California Health Care Facility, Stockton",CHCF,"California
Health Care Facility
7707 Austin Road",Stockton,CA,95215,(209) 467-2500,https://www.cdcr.ca.gov/facility-locator/chcf/,California,CDCR,37.8972065,-121.1864019
"California
Institution for Men",CIM,"14901
Central Avenue",Chino,CA,91710,(909) 597-1821,https://www.cdcr.ca.gov/facility-locator/cim/,California,CDCR,33.9846612,-117.6801513
"California
Institution for Women",CIW,"16756
Chino-Corona Road",Corona,CA,92880,(909) 597-1771,https://www.cdcr.ca.gov/facility-locator/ciw/,California,CDCR,33.9490314,-117.6361501
"California
Men’s Colony",CMC,"Highway
1",San Luis Obispo,CA,93409,(805) 547-7900,https://www.cdcr.ca.gov/facility-locator/cmc/,California,CDCR,35.2707623,-120.6726942
"California
Medical Facility",CMF,"1600
California Dr.",Vacaville,CA,95696,(707) 448-6841,https://www.cdcr.ca.gov/facility-locator/cmf/,California,CDCR,38.3282848,-121.9800137
California Rehabilitation Center,CRC,"5th
Street & Western",Norco,CA,92860,(951) 737-2683,https://www.cdcr.ca.gov/facility-locator/crc/,California,CDCR,33.9311526,-117.5539009
"California State Prison, Corcoran",COR,"4001
King Avenue",Corcoran,CA,93212,(559) 992-8800,https://www.cdcr.ca.gov/facility-locator/cor/,California,CDCR,36.0597221,-119.5547787
"California State Prison, Los Angeles County",LAC,"44750
60th Street West",Lancaster,CA,93536-7620,(661) 729-2000,https://www.cdcr.ca.gov/facility-locator/lac/,California,CDCR,34.6963925,-118.2278871
"California State Prison, Sacramento",SAC,"100
Prison Road",Represa,CA,95671,(916) 985-8610,https://www.cdcr.ca.gov/facility-locator/sac/,California,CDCR,38.6949799,-121.1531404
"California
State Prison, Solano",SOL,"2100
Peabody Road",Vacaville,CA,95696,(707) 451-0182,https://www.cdcr.ca.gov/facility-locator/sol/,California,CDCR,38.32052710000001,-121.974327
"Calipatria
State Prison",CAL,"7018
Blair Road",Calipatria,CA,92233,(760) 348-7000,https://www.cdcr.ca.gov/facility-locator/cal/,California,CDCR,33.1636907,-115.4927772
"California
State Prison, Centinela",CEN,"2302
Brown Road",Imperial,CA,92251,(760) 337-7900,https://www.cdcr.ca.gov/facility-locator/cen/,California,CDCR,32.7957418,-115.7739497
"Central
California Women’s Facility",CCWF,"23370
Road 22",Chowchilla,CA,93610,(559) 665-5531,https://www.cdcr.ca.gov/facility-locator/ccwf/,California,CDCR,37.0899649,-120.1497839
"Correctional
Training Facility",CTF,"Highway
101 North *",Soledad,CA,93960,(831) 678-3951,https://www.cdcr.ca.gov/facility-locator/ctf/,California,CDCR,36.4316829,-121.3374549
"Folsom
State Prison",FSP,"300
Prison Road",Represa,CA,95671,(916) 985-2561,https://www.cdcr.ca.gov/facility-locator/fsp/,California,CDCR,38.6961338,-121.1645661
"High
Desert State Prison",HDSP,"475-750
Rice Canyon Rd.",Susanville,CA,96127,(530) 251-5100,https://www.cdcr.ca.gov/facility-locator/hdsp/,California,CDCR,40.4052702,-120.5260649
"Ironwood
State Prison",ISP,"19005
Wiley’s Well Road",Blythe,CA,92225,(760) 921-3000,https://www.cdcr.ca.gov/facility-locator/isp/,California,CDCR,33.6094948,-114.9019957
"Kern
Valley State Prison",KVSP,"3000
West Cecil Avenue",Delano,CA,93216-6000,(661) 721-6300,https://www.cdcr.ca.gov/facility-locator/kvsp/,California,CDCR,35.7660405,-119.3209321
"Mule
Creek State Prison",MCSP,"4001
Highway 104",Ione,CA,95640,(209) 274-4911,https://www.cdcr.ca.gov/facility-locator/mcsp/,California,CDCR,38.3696272,-120.9546466
"North
Kern State Prison",NKSP,"2737
West Cecil Avenue",Delano,CA,93215,(661) 721-2345 (General),https://www.cdcr.ca.gov/facility-locator/nksp/,California,CDCR,35.7796918,-119.309062
"Pelican
Bay State Prison",PBSP,"5905
Lake Earl Drive",Crescent City,CA,95531,(707) 465-1000,https://www.cdcr.ca.gov/facility-locator/pbsp/,California,CDCR,41.8539487,-124.1540669
"Pleasant
Valley State Prison",PVSP,"24863
West Jayne Avenue",Coalinga,CA,93210,(559) 935-4900,https://www.cdcr.ca.gov/facility-locator/pvsp/,California,CDCR,36.1297323,-120.2495698
"Richard
J. Donovan Correctional Facility",RJD,"480
Alta Road
San
Diego, CA 92179
(619)
661-6500",,CA,,,https://www.cdcr.ca.gov/facility-locator/rjd/,California,CDCR,32.5847635,-116.9337232
"Salinas
Valley State Prison",SVSP,"31625
Highway 101",Soledad,CA,93960,(831) 678-5500,https://www.cdcr.ca.gov/facility-locator/svsp/,California,CDCR,36.4674399,-121.3853788
San Quentin Rehabilitation Center,SQ,San,Quentin,CA,94964,(415) 454-1460,https://www.cdcr.ca.gov/facility-locator/sq/,California,CDCR,37.94018,-122.4877642
"Sierra
Conservation Center",SCC,"5100
O’Byrnes Ferry Road",Jamestown,CA,95327,(209) 984-5291,https://www.cdcr.ca.gov/facility-locator/scc/,California,CDCR,37.8888432,-120.5360727
"Substance Abuse Treatment Facility and State Prison, Corcoran","SATF-CSP, Corcoran",900 Quebec Avenue,Corcoran,CA,93212,(559) 992-7100,https://www.cdcr.ca.gov/facility-locator/satf/,California,CDCR,36.0537893,-119.5542583
"Valley
State Prison",VSP,"21633
Avenue 24",Chowchilla,CA,93610,(559) 665-6100,https://www.cdcr.ca.gov/facility-locator/vsp/,California,CDCR,37.1041406,-120.1546002
