name,jurisdiction,agency,facility_url,street_address,city,state,zip_code,phone,fax,latitude,longitude,warden,capacity,population,security_level,gender,opened,cost_per_individual,programs
Big Muddy River Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.big-muddy-river-correctional-center.html,251 N. Illinois Highway 37,Ina,IL,62846,,,38.1307942,-88.9090508,Christel Crow,1961,1495.0,Medium,Male,March 1993,"30,629",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Career and Technical Education: Automotive; Career and Technical Education: Construction Occupations; Career and Technical Education: Horticulture; Career and Technical Education: Culinary Arts; Career and Technical Education: Career Technologies; Other: Thinking for a Change; Other: Reentry Summit; Other: Substance Abuse; Other: Sex Offender Program; Other: SDP (Sexually Dangerous Persons) Treatment Program; Other: Anger Management; Other: Leisure Time Activity; Other: Chaplaincy; Other: Library
Centralia Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.centralia-correctional-center.html,9330 Shattuc Road,Centralia,IL,62801,,,38.5537852,-89.1925923,Jeffrey Wehking,1520,1122.0,Medium,Male,October 1980,"36,406",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Career and Technical Education: Career Technologies; Career and Technical Education: Culinary Arts; Career and Technical Education: Construction Occupations; Career and Technical Education: HVAC; Career and Technical Education: Warehousing and Distribution; Industries: Recycling Program; Industries: Sewing Shop; Volunteer Services: Chaplaincy; Volunteer Services: Volunteer Literacy; Other: Library; Other: Life Skills; Other: Alcoholics Anonymous; Other: Narcotics Anonymous; Other: Substance Abuse; Other: Anger Management; Other: Leisure Time Services; Other: Chaplaincy; Other: Lifestyles Redirection Program; Other: TRAC 1; Other: Reentry Summits
Danville Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.danville-correctional-center.html,3820 East Main Street,Danville,IL,61834,,,40.1303823,-87.53655250000001,"McKenna Wenzel, Day-to-Day Warden",1836,1689.0,Medium,Male,October 1985,"25,126",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Academic: Bachelor’s Degree Program through Eastern Illinois University; Academic: Education Justice Project (EJP); Academic: Divine Hope Bible College; Academic: Title One Program (Under 21 years old); Academic: College Remedial; Academic: Associates Degree Program; Career and Technical Education: Automotive Technology; Career and Technical Education: Construction Occupations; Career and Technical Education: Career Technologies; Career and Technical Education: CNC Tool Operations; Career and Technical Education: Mechatronics; Industries: Cardboard box production; Industries: Screen printing department; Industries: Full sewing line; Industries: Book binding department; Industries: Embroidery department; Industries: Graphic art department; Volunteer Services: Education Justice Project (EJP); Volunteer Services: Divine Hope Bible College; Volunteer Services: Religious Services; Volunteer Services: Alcoholics Anonymous; Volunteer Services: Narcotics Anonymous; Volunteer Services: Upper Level Reading Development Program; Other: Social Services and Counseling; Other: Lifestyle Redirection; Other: TRAC I; Other: Parole School Day 1; Other: Parole School Day 2; Other: Substance Abuse; Other: Drug Education; Other: Anger Management; Other: Parenting Class; Other: Psychological Services; Other: Incarcerated Veterans Transition Program; Other: Veterans Support Group; Other: Leisure Time Activity; Other: Chaplaincy; Other: Library Services
Decatur Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.decatur-correctional-center.html,2310 East Mound Road,Decatur,IL,62524,,,39.8947511,-88.927617,Jaclyn Thompson,707,341.0,Minimum,,January 2000,"72,581",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Academic: Autumn Taylor Initiative through Millikin University; Career and Technical Education: Career Technologies; Career and Technical Education: Culinary Arts; Career and Technical Education: Horticulture; Career and Technical Education: Manufacturing; Career and Technical Education: Warehousing; Industries: Upholstery; Industries: Furniture manufacturing; Industries: Individual in Custodyapparel production; Industries: Basicdog grooming; Industries: Kennel keeping; Substance Abuse: Wells Residential Substance Abuse Treatment; Substance Abuse: Substance Abuse Education; Substance Abuse: TASC - Post Release Case Management; Volunteer Services: Mom & Me Summer Camp; Volunteer Services: Mom & Me Mother's Day; Volunteer Services: Project Storybook; Volunteer Services: Project READ; Volunteer Services: Religious Services; Volunteer Services: Tutoring; Reunification: Reunification Program; Reunification: Moms and Babies; Reunification: Family Connections Visitations; Reunification: Angel Tree; Reunification: Parent & Child Together Video Conferencing; Reentry: Job Preparedness; Reentry: Reentry Summit; Reentry: Out-In-A-Week; Other: Parenting; Other: YouthfulIndividual in CustodyCounselor; Other: YouthfulIndividual in CustodySupport Group; Other: Life Skills; Other: Geri-Active Program; Other: Anger Management; Other: Lifestyle Redirection; Other: Healing Through a Positive Self-Image; Other: Smoking Cessation; Other: HIV Education and Support Group; Other: Mental Health; Other: Daughters of Destiny - Chaplaincy aftercare mentoring program
Dixon Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.dixon-correctional-center.html,2600 N. Brinton Avenue,Dixon,IL,61021,,,41.873698,-89.4782974,Andrea Tack,1975,991.0,Medium,Male,July 1983,"47,695",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Vocational to Career and Technical Education: Career technologies; Vocational to Career and Technical Education: Cosmetology (GP); Vocational to Career and Technical Education: Commercial Cooking (GP); Vocational to Career and Technical Education: Construction Occupations (GP); Industries: Eyeglass; Volunteer Services: Religious Programs (Worship and Bible study); Volunteer Services: Alcoholics Anonymous; Volunteer Services: Literacy Program; Other: Life Skills; Other: Substance Abuse; Other: Anger Management; Other: Incarcerated Veterans Transition Program; Other: Leisure Time Services; Other: Hospice/Adult Care; Other: Individual Therapy; Other: Group Therapy; Other: Community Work Crews; Other: Lifestyle Redirection; Other: Reentry Programs
East Moline Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.east-moline-correctional-center.html,100 Hillcrest Road,East Moline,IL,61244,,,41.5331373,-90.41943599999999,Mark Williams,925,482.0,Minimum,Male,November 1980,,"Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Academic: Bachelors of Arts Degree, Augustana Prison Education Program; Career and Technical Education: Career technologies; Career and Technical Education: Construction Occupations; Career and Technical Education: Culinary Arts; Industries: Laundry; Other: Individual and Group Counseling; Other: Incarcerated Veterans Transition Program; Other: Health Services; Other: Psychological Services; Other: Lifestyle Redirection; Other: Leisure Time Activities; Other: Library Services; Other: Parole School; Chaplaincy Services: Alcoholics Anonymous; Chaplaincy Services: Narcotics Anonymous; Chaplaincy Services: Worship Services; Chaplaincy Services: Toastmasters; Chaplaincy Services: Tutoring"
Graham Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.graham-correctional-center.html,12078 Illinois Route 185,Hillsboro,IL,62049,,,39.1258632,-89.4730361,Steven Campbell,2027,1578.0,Medium,Male,September 1980,"37,248",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Career and Technical Education: Auto Mechanics; Career and Technical Education: Career Technologies; Career and Technical Education: Construction Occupation; Career and Technical Education: Manufacturing; Industries: Furniture Making; Volunteer Services: Religious Services; Other: Orientation; Other: Reentry Prep Program; Other: Substance Abuse; Other: Leisure Time Activity; Other: Library; Other: Chaplaincy; Other: Alcoholics Anonymous; Other: Narcotics Anonymous
Hill Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.hill-correctional-center.html,600 South Linwood Road,Galesburg,IL,61401,,,40.9400621,-90.4070486,Tyrone Baker,1812,1189.0,Medium,Male,October 1986,"25,735","Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Career and Technical Education: Custodial Maintenance; Career and Technical Education: Career Technologies; Career and Technical Education: Automotive Technology; Career and Technical Education: Horticulture; Career and Technical Education: Warehousing; Industries: Milk; Industries: Juice; Industries: Meat; Volunteer: Religious; Volunteer: Alcoholics Anonymous; Other: Lifestyle Redirection; Other: Life Skills, TRAC 1; Other: Parole School; Other: Reentry Summits; Other: Substance Abuse Education; Other: Anger Management; Other: Leisure Time Activity; Other: Chaplaincy; Other: Library Activities - Legal and General; Other: Empathy Skills Group; Other: Inside Out Dads; Other: Fatherhood Initiative"
Illinois River Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.illinois-river-correctional-center.html,P.O. Box 999,Canton,IL,61520,,,40.5127082,-89.9626799,Chance Jones,2029,1674.0,Medium,Male,October 1989,"29,410",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Academic: Bridge Career Awareness; Academic: College Academics; Career and Technical Education: Construction Technology; Career and Technical Education: Horticulture; Career and Technical Education: Automotive Technology; Career and Technical Education: Career Technologies; Career and Technical Education: Culinary Arts; Career and Technical Education: Warehousing; Industries: Bakery; Other: Life Skills; Other: Substance Abuse; Other: Anger Management; Other: Leisure Time Activity; Other: Volunteer Services; Other: Chaplaincy; Other: Library; Other: Community Work Crews
Jacksonville Correctional Center,Illinois,Illinois Department of Corrections (IDOC),https://idoc.illinois.gov/content/soi/idoc/en/facilities/correctionalfacilities/facility.jacksonville-correctional-center.html,2268 East Morton Avenue,Jacksonville,IL,62650,,,39.7271198,-90.174667,Rich Stempinski,1628,551.0,Minimum,Male,October 1984,"60,269",Academic: Adult Basic Education (ABE); Academic: Advanced Adult Basic Education (ADV ABE); Academic: Adult Secondary Education (ASE/GED); Career and Technical Education: Custodial Maintenance; Career and Technical Education: Horticulture; Career and Technical Education: Construction Trades; Career and Technical Education: Career Technologies; Other: Substance Abuse; Other: Chaplaincy; Other: Alcoholics Anonymous; Other: Narcotics Anonymous; Other: Leisure Time Activity; Other: Individual Counseling; Other: Parole School; Other: Reentry Summits; Other: Library
